id,name,teacher,day,slots,credit,isBase,isLang,CourseNumber,program,isSmr
1122150,法學方法與民事審判實務,魏大喨,4,5|6,2,False,False,651B47001,法律系碩士班,False
1122151,土地、環境與法律,李明芝、傅玲靜,1,7|8,2,False,False,651B48001,法律系碩士班,False
1122152,行政法論文寫作（十一）,劉宗德,3,F|G,2,False,False,651B49001,法律系碩士班,False
1122153,民事審判實務研究（二）,邱景芬,5,D|5|6|7,2,False,False,651B50001,法律系碩士班,False
1122154,美國法律檢索、分析與寫作（一）,朱德芳,0,,2,False,True,651B51001,法律系碩士班,False
1122201,行政法,傅玲靜,4,2|3|4,3,True,False,652101001,法科所,False
1122202,政府採購法,顏玉明,3,5|6,2,False,False,652110001,法科所,False
1122203,行政救濟法,林佳和、傅玲靜、詹鎮榮,3,7|8|E,3,False,False,652139001,法科所,False
1122204,社會法,張桐銳,4,2|3|4,3,False,False,652146001,法科所,False
1122205,證券交易法,陳盈如,3,2|3|4,3,False,False,652150001,法科所,False
1122206,證券交易法,林國全,3,2|3|4,3,False,False,652150011,法科所,False
1122207,國際貿易與法律（三）,洪德欽、許耀明、陳貞如,4,5|6|7,3,False,False,652154001,法科所,False
1122208,法律倫理,劉宏恩,2,7|8,2,False,False,652155001,法科所,False
1122209,刑事法綜合研習,林俊益,1,5|6|7|8,2,False,False,652159001,法科所,False
1122210,法律服務,呂彥彬,2,C,1,False,False,652160001,法科所,False
1122211,民事訴訟法（二）,劉明生,2,2|3|4,3,False,False,652162001,法科所,False
1122212,民事訴訟法（二）,許政賢,2,2|3|4,3,False,False,652162011,法科所,False
1122213,民事訴訟法（二）,姜世明,2,2|3|4,3,False,False,652162021,法科所,False
1122214,公平交易法,王立達,5,6|7,2,False,False,652164001,法科所,False
1122215,保險法,葉啓洲,5,2|3|4,3,False,False,652165001,法科所,False
1122216,保險法,陳俊元,5,2|3|4,3,False,False,652165011,法科所,False
1122217,海商法,張新平,4,D|5,2,False,False,652166001,法科所,False
1122218,海商法,張新平,5,D|5,2,False,False,652166011,法科所,False
1122219,刑事訴訟法（二）,楊雲驊,2,7|8,2,False,False,652170001,法科所,False
1122220,進階刑法,李聖傑,3,2|3|4,3,True,False,652196001,法科所,False
1122221,土地、環境與法律,李明芝、傅玲靜,1,7|8,2,False,False,652201001,法科所,False
1122222,企業併購法,周振鋒、黃朝琮,5,5|6,2,False,False,652203001,法科所,False
1122223,初階法學英文,劉宏恩,1,C,1,False,True,652853001,法科所,False
1122224,經濟法專題研究（二）,王立達,4,7|8,2,False,False,652854001,法科所,False
1122225,智慧財產與企業併購專題研究,馮震宇,3,5|6,2,False,False,652858001,法科所,False
1122226,經濟法,王立達,5,8,1,False,False,652874001,法科所,False
1122227,勞動法案例研究,林良榮,3,7|8,2,False,False,652877001,法科所,False
1122228,集體勞動法,林良榮,3,5|6,2,False,False,652883001,法科所,False
